Mk1 Mini/Plus,5Way,1Way,1Way,1Way,1Way,1Way
Mk1 Standard/Max,5Way,5Way,3Way,1Way,1Way,1Way
Mk1 All 5-Ways,5Way,5Way,5Way,5Way,5Way,1Way
Mk2 Mini/Plus,5Way,1Way,1Way,1Way,1Way,5Way
Mk2 Standard/Max,5Way,1Way,3Way,5Way,1Way,5Way
Mk2 Mini/Plus Dual Stick,5Way,1Way,1Way,1Way,1Way,1Way
Mk2 Standard/Max Dual Stick,5Way,1Way,3Way,5Way,1Way,1Way
Mk2 All 5-Ways,5Way,5Way,5Way,5Way,5Way,5Way
Mk2 All 5-Ways MB1 Stick,5Way,1Way,5Way,5Way,5Way,5Way
Mk2 All 5-Ways Dual Stick,5Way,1Way,5Way,5Way,5Way,1Way
